GeoFIPS,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
02070,"Dillingham Census Area, AK*",28915,26554,27104,28906,30346,31798,33379,34352,37800,39098,43014,46315,47952,48998,53145,53729,54334,57323,58499,57498,57379,58755,60862,63419,66350
02090,"Fairbanks North Star Borough, AK",29619,29940,31636,33397,34298,37003,40524,42197,46238,46181,46814,51460,50889,48788,51670,53021,52140,53427,56329,58345,60400,65312,67708,69914,75191
02100,"Haines Borough, AK*",33847,31010,30976,30362,33337,34407,36263,37007,38122,38094,41660,46202,47562,52479,56662,63915,64849,72309,82291,83904,75973,86153,85141,94142,100738
02105,"Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36708,35643,41787,45049,46513,49582,53082,53748,51689,54952,56970,56908,55522,61133,68673,73586,77925
02110,"Juneau City and Borough, AK",38236,39406,39421,41012,41714,43995,46378,49479,52521,52228,55006,58152,60617,59542,61349,62197,63087,65232,68381,69937,70573,74509,79436,84994,88889
02122,"Kenai Peninsula Borough, AK*",29606,30401,30746,31153,32286,33604,35281,37524,42075,41709,43811,46358,47536,46701,50328,50736,49368,49778,51683,53949,55824,59273,60619,63937,67429
02130,"Ketchikan Gateway Borough, AK*",37162,38928,39291,40955,41335,44022,44902,49098,52259,53208,54710,57133,58417,58383,60758,62908,62480,63795,65994,68096,66172,69898,74038,80857,85247
02150,"Kodiak Island Borough, AK",29052,30597,31178,34651,35643,37764,39675,41228,45078,44387,49651,51931,54475,53214,56727,60530,56684,59451,59508,61991,65487,68994,71765,75475,76286
02158,"Kusilvak Census Area, AK*",15751,16736,17650,18765,18750,19511,19454,20879,23338,23760,25463,26713,27443,26078,29314,28041,29595,29412,30238,30878,32537,36002,37634,36837,37765
02164,"Lake and Peninsula Borough, AK*",23252,28680,30282,31661,31695,29428,31231,34853,39880,38024,41739,45477,50311,50185,52149,54532,52845,56041,62544,57446,58130,64173,68770,74522,76538
02170,"Matanuska-Susitna Borough, AK",26723,29436,30140,30424,30977,32438,33492,36317,40038,39760,40391,43254,44341,44093,46178,47253,45420,45417,47562,50081,52389,55106,58517,60480,63994
02180,"Nome Census Area, AK",23317,24234,26462,28081,28931,30015,31025,32850,37163,36988,40418,41713,42677,42136,46325,47098,46993,48443,50646,52214,53853,57853,63826,64236,68245
02185,"North Slope Borough, AK*",44835,46067,43787,40421,38219,35634,33580,31047,33238,40224,51466,63668,74534,83305,93362,93907,82917,77570,75340,79609,76086,71832,77563,86211,92214
02188,"Northwest Arctic Borough, AK",24979,25647,25915,26700,26841,29534,30011,32064,34658,35923,38948,38192,39060,38098,41459,41454,41749,42643,47066,47530,48963,51935,55837,57365,62888
02195,"Petersburg Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44409,49772,53206,54230,60733,61955,63450,60029,61841,66163,66173,68780,76156,74795,82157,82785
02198,"Prince of Wales-Hyder Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31053,34882,34709,36110,36240,38598,39954,40290,42918,46663,48549,51457,54197,53795,55078,56996
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",22800,21687,23067,24802,25846,26876,26563,27902,32119,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02220,"Sitka City and Borough, AK*",30892,33596,33874,35933,36714,38563,40067,43299,47119,47602,52143,58575,60044,62270,63732,65500,61191,65250,67607,68615,67832,78440,80290,88103,91448
02230,"Skagway Municipality, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),74835,70027,75575,77172,85638,80761,77442,68940,69607,70529,75061,76286,57988,69151,78328,92627,99837
02231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02232,"Skagway-Hoonah-Angoon Census Area, AK*",31441,31269,31944,33100,33033,35000,37195,39698,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
02240,"Southeast Fairbanks Census Area, AK*",23998,23968,26340,30060,31135,34018,33607,35934,37795,38443,40668,43478,42065,43142,45214,47220,47235,48298,50675,51657,53248,59350,61056,64682,68784
02261,"Valdez-Cordova Census Area, AK*",32747,32239,34380,35213,36498,38657,39967,44090,49645,48132,50333,51751,52928,49699,54153,56231,55058,57080,57923,59026,(NA),(NA),(NA),(NA),(NA)
02275,"Wrangell City and Borough, AK*",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33608,38983,41743,43662,44262,48876,50666,48674,49710,54316,54429,56515,60515,61337,64204,67715
